,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
15269,52022,0.57,Ideal,E,VVS2,62.0,57.0,5.29,5.33,3.29,2447
429,39436,0.41,Ideal,D,VS2,61.7,56.0,4.81,4.78,2.96,1076
42799,4735,0.3,Ideal,F,VS2,62.3,55.0,4.3,4.34,2.69,573
32571,34012,0.43,Ideal,F,VS2,61.4,54.0,4.9,4.93,3.02,848
27802,35588,0.4,Premium,E,SI1,62.9,58.0,4.74,4.71,2.97,907
2893,21842,1.0,Premium,F,VVS1,61.0,60.0,6.43,6.39,3.91,9901
8274,23144,1.3,Premium,G,VVS1,60.5,60.0,7.05,7.01,4.25,11162
14453,42726,0.37,Ideal,F,VVS1,59.2,57.0,4.71,4.75,2.8,1342
34605,26708,0.32,Ideal,F,VS2,62.4,55.0,4.41,4.43,2.76,645
3705,44185,0.5,Very Good,G,VS1,62.9,58.0,5.06,5.08,3.19,1569
16701,28122,0.36,Very Good,D,SI1,60.1,57.0,4.62,4.66,2.79,663
10132,23359,0.3,Ideal,G,SI1,60.9,57.0,4.34,4.39,2.66,422
13694,41711,0.53,Ideal,I,VS2,62.3,57.0,5.15,5.18,3.22,1243
13835,18181,1.2,Very Good,G,VS2,63.1,57.0,6.69,6.74,4.24,7371
11426,29589,0.43,Good,F,SI1,60.7,61.0,4.86,4.89,2.96,706
20740,27630,4.5,Fair,J,I1,65.8,58.0,10.23,10.16,6.72,18531
15334,49299,0.41,Premium,I,SI2,61.6,59.0,4.76,4.79,2.94,539
15842,15001,1.01,Very Good,E,VS2,62.6,56.0,6.39,6.43,4.01,6043
42117,52497,0.71,Very Good,D,SI1,63.3,59.0,5.55,5.66,3.55,2525
34270,48948,0.71,Ideal,J,VS2,61.5,59.0,5.71,5.74,3.52,2047
1786,5116,1.09,Ideal,E,SI2,59.4,57.0,6.74,6.65,3.98,3760
32532,13662,1.05,Good,H,VS2,63.7,58.0,6.45,6.4,4.09,5592
5360,13000,1.0,Premium,H,VS2,62.4,59.0,6.75,6.72,4.2,5404
4538,41625,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,504
11886,43122,0.6,Premium,D,SI2,61.4,56.0,5.43,5.41,3.33,1385
1480,35943,0.3,Ideal,F,SI1,61.9,56.0,4.3,4.32,2.67,475
12214,36874,0.42,Very Good,E,VS2,61.9,59.0,4.75,4.81,2.96,958
30618,53701,0.7,Premium,F,VS2,62.6,61.0,5.66,5.61,3.53,2717
14090,7420,1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,4227
37937,53878,0.51,Ideal,E,VVS1,61.9,54.0,5.17,5.11,3.18,2745
3416,18848,1.54,Premium,I,SI2,60.1,61.0,7.46,7.41,4.47,7727
34555,39993,0.41,Premium,F,VS2,60.3,60.0,4.84,4.81,2.91,1107
3633,28503,0.29,Ideal,G,IF,61.3,55.0,4.25,4.28,2.61,673
23072,21734,1.53,Very Good,I,VS2,62.8,59.0,7.27,7.31,4.58,9802
22198,218,0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,2782
42415,23803,1.5,Very Good,D,SI1,63.1,57.0,7.31,7.24,4.59,11863
8869,42926,0.57,Good,F,SI1,63.2,55.0,5.26,5.31,3.34,1364
27729,46983,0.59,Ideal,D,SI1,61.0,57.0,5.43,5.46,3.32,1816
28657,17868,1.24,Good,H,VS2,58.3,58.0,7.09,7.15,4.15,7210
29234,38485,0.42,Ideal,D,VS2,61.8,56.0,4.8,4.84,2.98,1031
23562,24717,0.3,Very Good,E,VS1,63.8,59.0,4.21,4.22,2.69,640
35402,3240,0.71,Very Good,F,VVS2,62.1,60.0,5.69,5.72,3.54,3354
27907,26437,2.02,Ideal,H,SI2,63.0,57.0,8.01,8.06,5.06,15974
9266,1142,0.71,Very Good,E,VS2,63.3,59.0,5.62,5.66,3.57,2922
8492,15129,1.07,Ideal,H,VS1,62.3,55.0,6.59,6.54,4.09,6082
17503,46848,0.53,Ideal,F,VS1,62.3,55.0,5.18,5.22,3.24,1812
22732,27655,2.07,Premium,F,SI2,60.7,59.0,8.21,8.16,4.97,18611
29444,9695,0.32,Very Good,D,SI1,62.7,57.0,4.34,4.37,2.73,589
35033,29992,0.43,Ideal,D,SI2,62.6,56.0,4.84,4.88,3.04,716
4401,38386,0.42,Ideal,E,VS2,62.3,55.0,4.83,4.77,2.99,1024
13098,16681,0.29,Ideal,G,SI1,62.1,54.0,4.25,4.29,2.65,420
2000,12492,1.08,Ideal,D,SI2,61.6,57.0,6.58,6.62,4.07,5256
12753,27581,2.03,Premium,G,SI1,61.3,59.0,8.11,8.08,4.96,18423
5356,35720,0.3,Ideal,D,VS2,61.6,57.0,4.33,4.3,2.66,911
25975,11844,1.13,Premium,H,SI1,62.3,58.0,6.67,6.68,4.16,5101
22220,7131,1.08,Premium,J,SI1,61.0,60.0,6.62,6.57,4.02,4173
16721,27828,0.39,Very Good,E,SI2,63.0,61.0,4.62,4.65,2.92,650
28199,50652,0.31,Premium,H,VS1,62.4,58.0,4.32,4.36,2.71,544
24458,29233,0.32,Ideal,G,VS1,59.8,57.9,4.44,4.47,2.67,696
17998,19717,1.5,Very Good,E,SI2,62.2,58.0,7.31,7.35,4.56,8291
37329,49550,0.55,Ideal,G,VVS2,62.5,56.0,5.25,5.22,3.27,2129
35986,15474,1.05,Ideal,D,SI1,60.7,60.0,6.52,6.56,3.97,6196
20023,4698,1.01,Good,I,SI1,64.1,59.0,6.24,6.21,3.99,3676
41238,51904,0.61,Ideal,E,VS2,61.4,56.0,5.47,5.51,3.37,2434
39564,14868,1.01,Premium,F,VS2,62.1,60.0,6.36,6.43,3.97,5988
35068,17718,0.37,Very Good,H,SI1,62.6,63.0,4.6,4.5,2.85,613
12362,41137,0.5,Good,G,SI1,63.6,55.0,5.03,5.06,3.21,1197
11799,23001,2.02,Premium,I,VS2,61.2,60.0,8.22,8.13,5.0,11059
15638,8999,0.91,Good,E,SI1,63.5,57.0,6.11,6.14,3.89,4512
22332,36899,0.41,Very Good,E,VS2,62.5,56.0,4.75,4.79,2.98,960
35730,53269,0.82,Premium,I,VS2,62.6,59.0,5.91,5.87,3.69,2648
7431,3708,0.77,Premium,F,VVS2,60.5,56.0,5.94,5.9,3.58,3450
35881,13668,1.19,Very Good,H,SI1,62.7,61.0,6.66,6.73,4.2,5595
26878,15819,1.0,Ideal,G,VS2,60.5,56.0,6.54,6.49,3.94,6328
29561,52735,0.7,Very Good,F,VS2,61.7,57.0,5.71,5.74,3.54,2559
13120,30491,0.31,Ideal,D,SI1,61.7,57.0,4.38,4.34,2.69,732
19833,18818,1.06,Very Good,F,VS2,61.5,58.0,6.53,6.57,4.03,7706
1829,1127,0.73,Premium,G,VVS2,62.2,56.0,5.79,5.75,3.59,2919
35814,11703,0.34,Premium,H,VS1,61.6,59.0,4.49,4.54,2.78,596
8034,46793,0.5,Premium,G,VVS2,62.1,61.0,5.1,5.07,3.16,1806
15821,44106,0.6,Very Good,H,VS2,60.8,60.0,5.39,5.44,3.29,1557
3698,3503,0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,3401
41785,27696,0.41,Ideal,G,SI2,61.5,55.0,4.76,4.8,2.94,648
40002,29312,0.31,Premium,H,VS1,59.9,59.0,4.4,4.38,2.63,698
11029,782,0.71,Premium,D,VS1,62.9,57.0,5.66,5.6,3.54,2860
23282,32160,0.38,Ideal,D,VS2,60.8,57.0,4.66,4.68,2.84,787
19320,1083,0.7,Premium,D,VS2,60.9,57.0,5.71,5.69,3.47,2909
25524,2339,0.74,Ideal,F,VS2,62.1,56.0,5.79,5.83,3.61,3171
12365,46462,0.71,Good,I,SI1,60.0,64.0,5.79,5.71,3.45,1774
3021,53231,0.72,Very Good,E,SI1,63.0,56.0,5.73,5.76,3.62,2642
27292,53891,0.56,Ideal,E,VVS1,62.1,56.0,5.28,5.29,3.28,2750
21995,45578,0.52,Ideal,G,VS1,61.1,55.0,5.15,5.19,3.16,1689
26700,5000,0.87,Premium,D,SI1,58.8,56.0,6.3,6.26,3.69,3742
21769,37242,0.39,Premium,E,VS2,59.7,59.0,4.83,4.79,2.87,975
22201,44315,0.34,Very Good,G,SI1,63.4,57.0,4.4,4.45,2.81,521
1812,30738,0.43,Good,E,SI1,63.4,57.0,4.81,4.84,3.06,739
35347,45465,0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,1676
15125,27129,2.04,Ideal,J,IF,61.5,58.0,8.11,8.14,5.0,17327
30905,20897,1.51,Premium,I,VS2,63.0,60.0,7.3,7.25,4.58,9116
39963,5347,0.9,Premium,D,SI1,62.1,60.0,6.2,6.14,3.83,3812
24720,52935,0.7,Good,G,VS1,60.6,61.0,5.71,5.77,3.48,2591
16162,4987,0.75,Ideal,G,VVS2,62.0,56.0,5.79,5.85,3.61,3740
4421,41418,0.55,Premium,G,SI1,60.7,56.0,5.38,5.32,3.25,1226
8057,2896,0.91,Very Good,G,SI2,63.3,57.0,6.12,6.08,3.86,3282
18342,41020,0.25,Premium,G,SI2,58.8,60.0,5.33,5.28,3.12,1186
34083,19157,1.11,Ideal,G,VS1,62.1,57.0,6.61,6.63,4.11,7917
9024,21981,1.52,Very Good,I,VS2,62.3,58.0,7.32,7.28,4.55,10051
37582,46525,0.51,Ideal,G,VS1,62.1,55.0,5.17,5.14,3.2,1781
14697,46481,0.54,Ideal,E,SI1,60.3,57.0,5.28,5.3,3.19,1777
2624,16610,1.2,Ideal,D,SI2,61.0,60.0,6.81,6.84,4.16,6636
23493,4874,1.02,Ideal,H,SI2,62.0,56.0,6.4,6.34,3.95,3713
11044,27795,0.37,Premium,G,VS2,59.3,60.0,4.67,4.71,2.78,649
20216,9691,0.32,Very Good,D,SI1,62.3,55.0,4.38,4.42,2.74,589
11444,9659,1.01,Good,H,SI1,60.3,64.0,6.53,6.5,3.93,4642
27358,20517,1.01,Very Good,E,VVS2,63.1,57.0,6.31,6.39,4.01,8849
6108,19713,1.51,Fair,I,VS2,64.6,58.0,7.19,7.15,4.63,8287
343,747,0.33,Ideal,I,SI1,63.0,57.0,4.39,4.37,2.76,557
24698,5830,0.77,Very Good,F,VVS2,60.6,60.0,5.89,5.92,3.58,3917
34047,42616,0.32,Ideal,H,VS2,62.0,55.0,4.39,4.42,2.73,505
19393,50874,0.52,Very Good,F,VVS1,62.0,57.0,5.11,5.15,3.18,2314
2658,39597,0.34,Ideal,E,VVS1,62.3,56.0,4.48,4.45,2.78,1084
18902,10640,1.02,Ideal,F,SI2,61.8,57.0,6.49,6.43,3.99,4832
27969,3260,0.93,Fair,G,SI1,64.4,57.0,6.14,6.09,3.94,3358
21089,37709,0.34,Premium,E,VVS2,62.7,59.0,4.43,4.41,2.77,995
879,28566,0.3,Very Good,H,VS1,63.4,53.0,4.3,4.25,2.71,675
18432,11833,1.0,Premium,H,VS2,61.3,61.0,6.44,6.38,3.93,5096
18009,40307,0.4,Premium,E,VS1,60.3,58.0,4.82,4.8,2.9,1125
2004,9683,1.23,Premium,J,SI1,61.9,54.0,6.89,6.86,4.26,4649
29400,44850,0.58,Ideal,I,VS2,61.8,55.0,5.36,5.38,3.32,1626
2247,49271,0.6,Ideal,E,SI1,62.3,55.0,5.45,5.4,3.38,2090
41101,46389,0.55,Ideal,E,VS1,61.5,57.0,5.23,5.27,3.23,1764
8402,23063,1.5,Premium,H,VS2,62.4,59.0,7.29,7.32,4.56,11092
42677,15338,1.01,Very Good,F,VS2,62.5,59.0,6.38,6.42,4.0,6159
1000,3076,0.9,Premium,D,SI2,62.5,59.0,6.18,6.13,3.85,3312
25433,31217,0.32,Very Good,D,SI1,63.1,57.0,4.38,4.37,2.76,756
9682,29083,0.36,Premium,G,SI1,61.8,59.0,4.57,4.55,2.82,689
40524,50164,0.7,Premium,H,VS2,60.8,58.0,5.71,5.68,3.46,2218
38866,4426,0.72,Very Good,G,IF,60.7,56.0,5.78,5.81,3.52,3614
41850,38727,0.4,Ideal,G,VVS1,62.0,56.0,4.73,4.76,2.94,1043
15601,10158,1.23,Good,J,VS2,63.6,60.0,6.77,6.73,4.29,4727
5186,35605,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,907
35389,40056,0.57,Ideal,J,VS2,62.5,54.0,5.32,5.34,3.33,1113
38382,51842,0.71,Very Good,E,SI2,62.2,58.0,5.65,5.7,3.53,2423
10153,18315,1.0,Very Good,F,VS1,61.9,58.0,6.34,6.37,3.94,7450
22128,38474,0.42,Ideal,F,VS1,61.0,57.0,4.84,4.87,2.96,1031
32866,7612,0.9,Premium,G,VS2,62.1,59.0,6.2,6.14,3.83,4259
29965,27584,2.0,Premium,E,SI2,61.8,56.0,8.12,8.05,5.0,18426
12604,21441,1.23,Ideal,F,VS2,61.7,57.0,6.94,6.9,4.27,9547
16768,3334,0.91,Premium,G,SI2,60.4,61.0,6.28,6.21,3.77,3376
24559,48374,0.68,Very Good,F,SI1,60.1,57.9,5.69,5.74,3.43,1964
2362,30770,0.33,Very Good,F,VS1,62.7,59.0,4.35,4.39,2.74,741
8931,42858,0.53,Premium,H,VS2,59.1,59.0,5.33,5.26,3.13,1356
36974,35113,0.3,Ideal,F,IF,62.3,53.0,4.34,4.36,2.71,886
11988,34802,0.31,Ideal,D,VS1,62.1,57.0,4.35,4.32,2.69,877
24992,16130,1.14,Premium,F,SI1,61.1,58.0,6.77,6.72,4.12,6448
2304,25140,2.22,Ideal,J,SI2,62.8,57.0,8.33,8.29,5.22,13703
17680,28727,0.31,Ideal,E,VS2,61.6,57.0,4.35,4.38,2.69,680
11665,36481,0.43,Very Good,G,VS1,62.2,59.0,4.81,4.84,3.0,943
28275,20151,1.03,Ideal,G,VVS1,62.4,57.0,6.47,6.39,4.01,8608
2744,27080,2.6,Premium,J,SI2,58.3,61.0,9.05,8.94,5.24,17209
34504,45452,0.71,Very Good,J,VS2,62.1,58.0,5.71,5.73,3.55,1675
24172,35787,0.36,Ideal,H,IF,61.6,56.0,4.56,4.59,2.82,912
16504,36118,0.48,Ideal,H,SI1,61.2,56.0,5.06,5.1,3.11,927
31306,16465,1.28,Premium,H,SI1,59.9,59.0,7.05,7.08,4.23,6580
13438,9962,1.09,Good,H,SI1,62.4,64.0,6.61,6.51,4.09,4700
32202,27939,0.23,Very Good,H,VVS2,62.4,55.0,3.91,3.94,2.45,431
23193,40434,0.36,Ideal,F,IF,62.2,55.0,4.57,4.62,2.86,1137
26002,42491,0.59,Premium,F,SI2,61.9,61.0,5.38,5.33,3.31,1319
17212,36642,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,948
23189,20098,1.51,Ideal,I,SI1,62.8,54.0,7.31,7.27,4.58,8574
38834,52878,0.74,Very Good,F,SI1,59.8,58.0,5.89,5.94,3.54,2583
20244,13127,0.91,Ideal,E,SI1,62.3,55.0,6.2,6.23,3.87,5431
3277,40335,0.51,Good,H,VS2,61.8,65.0,5.07,5.02,3.12,1128
1114,10870,1.11,Good,D,SI2,60.1,63.0,6.68,6.7,4.02,4877
19883,8164,1.08,Very Good,G,SI2,60.3,58.0,6.65,6.72,4.03,4362
20438,8158,1.13,Premium,F,SI2,62.3,59.0,6.68,6.65,4.15,4360
16837,24150,1.51,Good,G,VS1,64.0,57.0,7.31,7.2,4.64,12319
14740,28170,0.39,Ideal,G,SI1,60.7,57.0,4.69,4.8,2.88,665
37474,3968,0.9,Premium,E,SI1,59.0,59.0,6.34,6.3,3.73,3508
30318,24278,2.22,Fair,G,SI2,64.4,58.0,8.32,8.15,5.3,12508
14156,25129,1.7,Ideal,H,VS2,62.4,57.0,7.61,7.56,4.73,13681
4047,22589,1.02,Very Good,E,VVS1,60.2,60.0,6.39,6.54,3.89,10641
38463,34675,0.41,Good,D,VS2,63.4,54.0,4.74,4.79,3.02,873
23997,4089,0.9,Very Good,D,SI2,63.0,58.0,6.12,6.16,3.87,3534
25778,42443,0.55,Premium,I,VS2,61.7,55.0,5.35,5.29,3.28,1314
21374,40620,0.41,Ideal,E,VS1,62.1,55.0,4.8,4.77,2.97,1153
12671,53156,0.93,Premium,E,I1,62.3,60.0,6.2,6.23,3.87,2624
33845,35969,0.3,Ideal,G,SI1,61.0,58.0,4.29,4.36,2.64,477
31972,37696,0.41,Premium,J,VVS1,62.2,59.0,4.75,4.71,2.94,994
13099,8487,1.01,Very Good,I,SI1,62.1,59.0,6.36,6.42,3.97,4418
27036,43844,0.58,Ideal,G,SI1,62.2,55.0,5.33,5.37,3.33,1446
10603,4929,1.11,Very Good,J,VS2,63.2,59.0,6.55,6.46,4.11,3730
10050,23005,1.51,Ideal,H,SI1,62.3,53.7,7.33,7.37,4.58,11062
6328,19302,1.15,Premium,F,VS1,62.7,58.0,6.72,6.67,4.2,8018
18583,16257,1.24,Ideal,F,SI2,61.4,58.0,6.85,6.9,4.22,6503
29944,35017,0.4,Very Good,E,SI1,63.3,56.0,4.74,4.68,2.98,882
25044,5380,0.34,Premium,I,SI1,59.2,61.0,4.58,4.57,2.71,574
8868,35728,0.3,Ideal,D,VS2,62.5,55.0,4.31,4.3,2.69,911
22952,35238,0.43,Very Good,E,SI1,63.4,56.0,4.82,4.8,3.05,894
22280,11649,1.01,Good,D,SI1,63.9,61.0,6.28,6.31,4.02,5055
34197,34160,0.33,Premium,G,VS1,60.5,58.0,4.49,4.43,2.7,854
10644,30153,0.32,Very Good,E,SI1,63.3,56.0,4.35,4.34,2.75,720
1536,33863,0.3,Premium,E,VS2,61.7,58.0,4.34,4.32,2.67,844
29271,36446,0.31,Ideal,D,VS2,62.1,54.0,4.37,4.33,2.7,942
32304,26325,1.71,Very Good,G,VS2,62.5,58.0,7.56,7.66,4.76,15829
8501,44833,0.51,Good,E,SI1,64.3,55.0,5.12,5.05,3.27,1624
10496,50466,0.72,Ideal,I,VS1,62.3,55.0,5.79,5.69,3.58,2265
23260,40607,0.23,Ideal,F,VS2,61.5,55.0,3.93,3.97,2.43,498
9801,20112,1.25,Very Good,G,VS1,62.7,56.0,6.81,6.93,4.31,8580
43023,14039,1.21,Ideal,J,VS2,62.5,57.0,6.79,6.74,4.23,5707
22252,15227,1.01,Good,D,VS2,67.0,57.0,6.11,6.22,4.13,6113
12800,3752,0.7,Ideal,D,SI1,61.8,56.0,5.7,5.72,3.53,3454
30249,2654,0.7,Very Good,F,VVS2,58.7,63.0,5.82,5.79,3.41,3234
7390,13272,1.2,Ideal,G,SI2,62.2,56.0,6.84,6.74,4.22,5484
3715,37435,0.33,Ideal,G,IF,62.2,56.0,4.43,4.45,2.76,984
2915,34927,0.28,Good,E,SI1,62.6,60.0,4.12,4.15,2.59,373
10894,21350,1.59,Ideal,J,VS1,61.3,57.0,7.5,7.55,4.61,9494
22183,12770,1.08,Ideal,F,SI1,62.7,57.0,6.52,6.49,4.08,5327
37156,29425,0.42,Ideal,D,SI2,62.4,57.0,4.78,4.81,2.99,700
7565,12045,0.34,Premium,H,VS1,62.2,58.0,4.43,4.48,2.77,596
41933,45558,0.5,Very Good,D,VS2,63.0,57.0,5.03,5.06,3.18,1688
